Days,Infect
7.13,4.1
8.82,1.6
8.34,2.7
8.95,5.6
11.2,5.7
9.76,5.1
9.68,4.6
11.18,5.4
8.67,4.3
8.84,6.3
11.07,4.9
8.3,4.3
12.78,7.7
7.58,3.7
9,4.2
11.08,5.5
8.28,4.5
11.62,6.4
9.06,4.2
9.35,4.1
7.53,4.2
10.24,4.8
9.78,5
9.84,4.8
9.2,4
8.28,3.9
9.31,4.5
8.19,3.2
11.65,4.4
9.89,4.9
11.03,5
9.84,5.2
11.77,5.3
13.59,6.1
9.74,6.3
10.33,5
9.97,2.8
7.84,4.6
10.47,4.1
8.16,1.3
8.48,3.7
10.72,4.7
11.2,3
10.12,5.6
8.37,5.5
10.16,4.6
19.56,6.5
10.9,5.5
7.67,1.8
8.88,4.2
11.48,5.6
9.23,4.3
11.41,7.6
12.07,7.8
8.63,3.1
11.15,3.9
7.14,3.7
7.65,4.3
10.73,3.9
11.46,4.5
10.42,3.4
11.18,5.7
7.93,5.4
9.66,4.4
7.78,5
9.42,4.3
10.02,4.4
8.58,3.7
9.61,4.5
8.03,3.5
7.39,4.2
7.08,2
9.53,5.2
10.05,4.5
8.45,3.4
6.7,4.5
8.9,2.9
10.23,4.9
8.88,4.4
10.3,5.1
10.79,2.9
7.94,3.5
7.63,5.5
8.77,4.7
8.09,1.7
9.05,4.1
7.91,2.9
10.39,4.3
9.36,4.8
11.41,5.8
8.86,2.9
8.93,2
8.92,1.3
8.15,5.3
9.77,5.3
8.54,2.5
8.66,3.8
12.01,4.8
7.95,2.3
